ID,target,tissue,gene,Brown_observed,max_method_contr,max_method_id,Pre-filter q-value,Post-filter q-value,Mutations,Patients mutated,Mappability,AID,UV,APOBEC,Palindrome,More than two mutations,More than two patients mutated,Manual review,Overlap,Final filter judgement,Expression_p-value,Expression_Fold Difference,Mutated patients w. expression data,Wild-type patients with expression data
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9,CDS,meta_Carcinoma,SMAD4,2.15E-31,4.66E-01,Fisher_observed,1.66E-26,1.66E-26,113,101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.129775687,0.907345607,43,856
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12,CDS,meta_Carcinoma,CDKN2A,2.85E-31,4.66E-01,Fisher_observed,1.86E-26,1.86E-26,112,104,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.14E-05,2.557192671,49,850
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12,CDS,meta_Adenocarcinoma,CTNNB1,3.41E-31,4.66E-01,Fisher_observed,1.96E-26,1.96E-26,136,118,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.685444376,1.065667866,44,725
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7,CDS,meta_Adenocarcinoma,KRAS,3.47E-31,4.66E-01,Fisher_observed,1.96E-26,1.96E-26,264,262,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7.60E-18,1.572830624,115,654
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12,CDS,meta_Digestive_tract,CDKN2A,5.08E-31,4.66E-01,Fisher_observed,2.69E-26,2.69E-26,81,76,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.57E-06,7.219225815,25,255
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5,CDS,meta_Adenocarcinoma,PTEN,6.36E-31,4.66E-01,Fisher_observed,3.17E-26,3.17E-26,79,62,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.641358958,0.937167186,33,736
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3,CDS,meta_Adenocarcinoma,PIK3CA,7.98E-31,4.65E-01,Fisher_observed,3.76E-26,3.76E-26,164,135,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.941599588,1.033653927,85,684
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7,CDS,meta_Digestive_tract,KRAS,1.06E-30,4.66E-01,Fisher_observed,4.72E-26,4.72E-26,250,248,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.36E-13,1.585116123,102,178
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12,CDS,meta_Digestive_tract,CTNNB1,1.31E-30,4.66E-01,Fisher_observed,5.54E-26,5.54E-26,121,103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.083145797,1.174403256,33,247
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Pancan-no-skin-melanoma-lymph,TP53,1.90E-30,4.66E-01,Fisher_observed,7.66E-26,7.66E-26,815,782,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000487905,0.87006455,406,573
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,ColoRect-AdenoCa,TP53,2.48E-30,4.62E-01,Fisher_observed,9.54E-26,9.54E-26,34,31,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.035270834,0.743801408,30,21
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7,CDS,ColoRect-AdenoCa,KRAS,6.21E-30,4.62E-01,Fisher_observed,2.29E-25,2.29E-25,30,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.248181511,1.349355528,27,24
gc19_pc.cds::gencode::VHL::ENSG00000134086.7,CDS,Pancan-no-skin-melanoma-lymph,VHL,9.47E-30,4.66E-01,Fisher_observed,3.34E-25,3.34E-25,86,83,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.52E-06,0.824560499,66,913
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7,CDS,Pancan-no-skin-melanoma-lymph,KRAS,1.53E-29,4.66E-01,Fisher_observed,5.17E-25,5.17E-25,273,269,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,1.14E-17,1.56835046,119,860
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3,CDS,Pancan-no-skin-melanoma-lymph,PIK3CA,2.85E-29,4.65E-01,Fisher_observed,9.30E-25,9.30E-25,205,175,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.72290863,1.045027744,112,867
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9,CDS,Pancan-no-skin-melanoma-lymph,SMAD4,4.66E-29,4.65E-01,Fisher_observed,1.46E-24,1.46E-24,113,101,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.136386473,0.907345607,43,936
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12,CDS,meta_Adenocarcinoma,CDKN2A,5.32E-29,4.64E-01,Fisher_observed,1.61E-24,1.61E-24,86,81,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.36E-06,5.729805942,29,740
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12,CDS,Pancan-no-skin-melanoma-lymph,CTNNB1,5.72E-29,4.65E-01,Fisher_observed,1.67E-24,1.67E-24,141,123,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.655908607,1.057801079,45,934
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5,CDS,Pancan-no-skin-melanoma-lymph,PTEN,5.99E-29,4.65E-01,Fisher_observed,1.69E-24,1.69E-24,100,83,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.966782501,0.937728732,43,936
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12,CDS,Pancan-no-skin-melanoma-lymph,CDKN2A,1.84E-28,4.65E-01,Fisher_observed,5.04E-24,5.04E-24,114,106,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,2.86E-05,2.831725834,50,929
gc19_pc.cds::gencode::PBRM1::ENSG00000163939.14,CDS,meta_Carcinoma,PBRM1,3.04E-27,4.62E-01,Fisher_observed,8.05E-23,8.05E-23,91,80,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.363661334,1.049336292,58,841
gc19_pc.cds::gencode::PBRM1::ENSG00000163939.14,CDS,meta_Adenocarcinoma,PBRM1,4.63E-27,4.62E-01,Fisher_observed,1.19E-22,1.19E-22,87,77,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.310618586,1.044266613,55,714
gc19_pc.cds::gencode::NRAS::ENSG00000213281.4,CDS,Skin-Melanoma,NRAS,6.95E-27,4.59E-01,Fisher_observed,1.73E-22,1.73E-22,25,25,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.101394943,1.214039643,8,29
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Female_reproductive_tract,TP53,7.78E-27,4.65E-01,Fisher_observed,1.88E-22,1.88E-22,233,226,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.178021772,0.803221699,166,78
gc19_pc.cds::gencode::APC::ENSG00000134982.12,CDS,meta_Digestive_tract,APC,1.20E-26,4.62E-01,Fisher_observed,2.82E-22,2.82E-22,135,85,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.012868103,0.877982606,55,225
gc19_pc.cds::gencode::BRAF::ENSG00000157764.8,CDS,Skin-Melanoma,BRAF,1.38E-26,4.58E-01,Fisher_observed,3.17E-22,3.17E-22,59,55,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000203266,1.515921283,18,19
gc19_pc.cds::gencode::ARID1A::ENSG00000117713.13,CDS,meta_Carcinoma,ARID1A,2.35E-26,4.61E-01,Fisher_observed,5.25E-22,5.25E-22,139,128,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.352414428,0.920979458,71,828
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Lung,TP53,2.88E-26,4.65E-01,Fisher_observed,6.26E-22,6.26E-22,54,54,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.044247803,3.22045294,54,30
gc19_pc.cds::gencode::APC::ENSG00000134982.12,CDS,meta_Carcinoma,APC,3.09E-26,4.61E-01,Fisher_observed,6.55E-22,6.55E-22,162,111,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.88E-04,0.877026855,72,827
gc19_pc.cds::gencode::APC::ENSG00000134982.12,CDS,meta_Adenocarcinoma,APC,4.01E-26,4.61E-01,Fisher_observed,8.29E-22,8.29E-22,153,103,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000550088,0.876072144,65,704
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Squamous,TP53,5.39E-26,4.65E-01,Fisher_observed,1.09E-21,1.09E-21,77,68,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.326952023,3.077061194,59,48
gc19_pc.cds::gencode::ARID1A::ENSG00000117713.13,CDS,meta_Adenocarcinoma,ARID1A,9.62E-26,4.60E-01,Fisher_observed,1.90E-21,1.90E-21,126,115,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.561260176,0.995382262,59,710
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5,CDS,meta_Female_reproductive_tract,PTEN,1.13E-25,4.64E-01,Fisher_observed,2.18E-21,2.18E-21,32,21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.080254628,1.1986317,14,230
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Stomach-AdenoCa,TP53,1.69E-25,4.63E-01,Fisher_observed,3.19E-21,3.19E-21,28,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.125790052,0.720591562,10,19
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3,CDS,meta_Female_reproductive_tract,PIK3CA,2.62E-25,4.64E-01,Fisher_observed,4.82E-21,4.82E-21,94,83,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.629393999,1.025245183,48,196
gc19_pc.cds::gencode::APC::ENSG00000134982.12,CDS,ColoRect-AdenoCa,APC,6.48E-25,4.56E-01,Fisher_observed,1.17E-20,1.17E-20,91,43,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.265913433,0.87632156,42,9
gc19_pc.cds::gencode::ARID1A::ENSG00000117713.13,CDS,meta_Digestive_tract,ARID1A,8.07E-25,4.60E-01,Fisher_observed,1.43E-20,1.43E-20,96,87,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.619042592,1.062442066,36,244
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Lung-SCC,TP53,1.52E-24,4.64E-01,Fisher_observed,2.62E-20,2.62E-20,40,40,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.03872994,4.360645511,40,7
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11,CDS,meta_Lung,NFE2L2,2.16E-24,4.63E-01,Fisher_observed,3.67E-20,3.67E-20,23,21,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.179303439,1.624464157,21,63
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Breast,TP53,3.53E-24,4.65E-01,Fisher_observed,5.79E-20,5.79E-20,102,98,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.333699252,0.992897672,56,35
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Liver-HCC,TP53,3.56E-24,4.63E-01,Fisher_observed,5.79E-20,5.79E-20,92,90,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.019440749,0.782841256,27,73
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Eso-AdenoCa,TP53,4.07E-24,4.63E-01,Fisher_observed,6.50E-20,6.50E-20,82,78,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,NA,NA,6,1
gc19_pc.cds::gencode::PBRM1::ENSG00000163939.14,CDS,Pancan-no-skin-melanoma-lymph,PBRM1,4.38E-24,4.60E-01,Fisher_observed,6.87E-20,6.87E-20,92,81,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.267928414,1.044266613,59,920
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Sarcoma,TP53,5.05E-24,4.67E-01,Fisher_observed,7.78E-20,7.78E-20,21,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.150585841,0.458271641,7,27
gc19_pc.cds::gencode::CTNNB1::ENSG00000168036.12,CDS,Liver-HCC,CTNNB1,6.37E-24,4.62E-01,Fisher_observed,9.64E-20,9.64E-20,88,81,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.014491003,1.200602036,18,82
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Panc-AdenoCa,TP53,1.88E-23,4.62E-01,Fisher_observed,2.80E-19,2.80E-19,162,159,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.30307614,0.868054713,53,22
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11,CDS,meta_Squamous,NFE2L2,2.07E-23,4.62E-01,Fisher_observed,3.02E-19,3.02E-19,22,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.229204664,1.639780408,19,88
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Ovary-AdenoCa,TP53,2.46E-23,4.62E-01,Fisher_observed,3.53E-19,3.53E-19,96,96,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.649103818,0.793081125,78,11
gc19_pc.cds::gencode::VHL::ENSG00000134086.7,CDS,meta_Kidney,VHL,2.51E-23,4.65E-01,Fisher_observed,3.55E-19,3.55E-19,82,79,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000552411,0.817784959,63,97
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Breast-AdenoCa,TP53,2.63E-23,4.62E-01,Fisher_observed,3.65E-19,3.65E-19,97,94,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.522519699,0.930919838,53,32
gc19_pc.cds::gencode::ARID1A::ENSG00000117713.13,CDS,Pancan-no-skin-melanoma-lymph,ARID1A,2.75E-23,4.59E-01,Fisher_observed,3.76E-19,3.76E-19,145,134,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.51E-01,0.942096605,74,905
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12,CDS,meta_Squamous,CDKN2A,3.39E-23,4.62E-01,Fisher_observed,4.56E-19,4.56E-19,25,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.312079391,1.257809558,20,87
gc19_pc.cds::gencode::APC::ENSG00000134982.12,CDS,Pancan-no-skin-melanoma-lymph,APC,3.95E-23,4.58E-01,Fisher_observed,5.23E-19,5.23E-19,165,113,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000238826,0.876072144,73,906
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3,CDS,meta_Breast,PIK3CA,5.47E-23,4.63E-01,Fisher_observed,7.14E-19,7.14E-19,63,57,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.953316964,1.012831538,24,67
gc19_pc.cds::gencode::VHL::ENSG00000134086.7,CDS,Kidney-RCC,VHL,5.97E-23,4.63E-01,Fisher_observed,7.66E-19,7.66E-19,82,79,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003791597,0.81742399,63,54
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9,CDS,meta_Glioma,IDH1,9.50E-23,4.66E-01,Fisher_observed,1.20E-18,1.20E-18,20,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.003320119,0.732732733,19,27
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Uterus-AdenoCa,TP53,1.55E-22,4.62E-01,Fisher_observed,1.93E-18,1.93E-18,35,32,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.042698816,0.784967652,32,12
gc19_pc.cds::gencode::BRAF::ENSG00000157764.8,CDS,Thy-AdenoCa,BRAF,1.76E-22,4.58E-01,Fisher_observed,2.16E-18,2.16E-18,10,10,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.104959801,1.087460827,10,37
gc19_pc.cds::gencode::RB1::ENSG00000139687.9,CDS,Pancan-no-skin-melanoma-lymph,RB1,2.35E-22,4.57E-01,Fisher_observed,2.85E-18,2.85E-18,63,56,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.000246113,0.580250562,28,951
gc19_pc.cds::gencode::SMAD4::ENSG00000141646.9,CDS,Panc-AdenoCa,SMAD4,2.55E-22,4.61E-01,Fisher_observed,3.04E-18,3.04E-18,55,51,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.600841844,0.960475174,15,60
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Glioma,TP53,2.84E-22,4.65E-01,Fisher_observed,3.34E-18,3.34E-18,19,16,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.926192348,1.174762756,15,31
gc19_pc.cds::gencode::KRAS::ENSG00000133703.7,CDS,Panc-AdenoCa,KRAS,3.07E-22,4.61E-01,Fisher_observed,3.57E-18,3.57E-18,206,206,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.005478302,1.617970556,68,7
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,Head-SCC,TP53,3.64E-22,4.62E-01,Fisher_observed,4.17E-18,4.17E-18,37,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.001393309,0.511887831,19,23
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5,CDS,meta_Digestive_tract,PTEN,4.11E-22,4.56E-01,Fisher_observed,4.64E-18,4.64E-18,30,24,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.303235962,0.937167186,11,269
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3,CDS,meta_Digestive_tract,PIK3CA,5.73E-22,4.56E-01,Fisher_observed,6.38E-18,6.38E-18,66,48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.451463426,1.061462189,36,244
gc19_pc.cds::gencode::MEN1::ENSG00000133895.10,CDS,meta_Carcinoma,MEN1,5.90E-22,4.55E-01,Fisher_observed,6.49E-18,6.49E-18,36,35,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.018406627,0.619951596,4,895
gc19_pc.cds::gencode::NFE2L2::ENSG00000116044.11,CDS,meta_Carcinoma,NFE2L2,7.17E-22,4.55E-01,Fisher_observed,7.79E-18,7.79E-18,48,45,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.059281654,1.533350047,29,870
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12,CDS,Skin-Melanoma,CDKN2A,1.04E-21,4.52E-01,Fisher_observed,1.11E-17,1.11E-17,23,20,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.117004705,2.626849819,5,32
gc19_pc.cds::gencode::CDKN2A::ENSG00000147889.12,CDS,Panc-AdenoCa,CDKN2A,1.11E-21,4.60E-01,Fisher_observed,1.18E-17,1.18E-17,54,53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,9.16E-05,7.459764546,20,55
gc19_pc.cds::gencode::PIK3CA::ENSG00000121879.3,CDS,Breast-AdenoCa,PIK3CA,1.13E-21,4.60E-01,Fisher_observed,1.19E-17,1.19E-17,59,53,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.423794646,0.947720407,21,64
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Hematopoietic_system,TP53,1.82E-21,4.65E-01,Fisher_observed,1.88E-17,1.88E-17,34,30,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.752081164,1.082284967,27,147
gc19_pc.cds::gencode::TP53::ENSG00000141510.11,CDS,meta_Lymphatic_system,TP53,1.86E-21,4.65E-01,Fisher_observed,1.90E-17,1.90E-17,32,28,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.752081164,1.082284967,27,147
gc19_pc.cds::gencode::PTEN::ENSG00000171862.5,CDS,Uterus-AdenoCa,PTEN,2.18E-21,4.60E-01,Fisher_observed,2.20E-17,2.20E-17,21,12,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.368198538,0.976345154,12,32
gc19_pc.cds::gencode::IDH1::ENSG00000138413.9,CDS,meta_CNS,IDH1,2.54E-21,4.66E-01,Fisher_observed,2.53E-17,2.53E-17,22,22,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.32E-03,0.732732733,19,27
gc19_pc.cds::gencode::PBRM1::ENSG00000163939.14,CDS,meta_Kidney,PBRM1,2.76E-21,4.63E-01,Fisher_observed,2.72E-17,2.72E-17,52,48,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,0.160438983,1.021340117,36,124
